MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,
0.114509,0.947739,2.34452,-0.179591,0,,,
0.104948,0.947739,2.185094,-0.179591,0,,,
0.095388,0.947739,1.770587,-0.843346,0,,,
0.127256,1.042477,3.396732,-0.147983,0,,,
0.149564,0.663523,2.185094,0.136483,0,,,
0.076267,0.947739,2.21698,0.737024,0,,,
0.053959,0.979318,2.121324,-0.211198,0,,,
0.066707,0.916159,1.961898,-0.211198,0,,,
0.092201,0.979318,2.089439,-0.274413,0,,,
0.041212,1.042477,1.898128,-0.274413,0,,,
0.028465,1.105636,2.121324,-0.147983,0,,,
0.060333,1.263534,2.472061,0.073268,0,,,
0.095388,1.51617,2.248865,0.073268,0,,,
0.104948,1.105636,2.599602,0.010054,0,,,
0.181432,1.51617,0.527064,-0.179591,0,,,
0.07308,2.874088,2.089439,-0.242806,0,,,
0.127256,0.979318,2.21698,-0.274413,0,,,
0.092201,0.821421,2.21698,-0.211198,0,,,
0.117696,1.010898,2.312635,-0.116376,0,,,
0.079454,0.853,2.248865,-0.30602,0,,,
0.092201,0.979318,2.408291,-0.116376,0,,,
0.124069,1.010898,3.460502,-0.337628,0,,,
0.136817,0.947739,2.21698,-0.147983,0,,,
0.098575,0.758262,2.153209,-0.211198,0,,,
0.089014,0.947739,2.153209,-0.179591,0,,,
0.108135,0.88458,1.834357,-0.369235,0,,,
0.082641,0.947739,2.153209,-0.211198,0,,,
0.050773,0.916159,2.153209,-0.242806,0,,,
0.445937,1.295113,2.440176,0.484165,0,,,
-0.102194,-0.347021,5.46927,-1.222635,0,,,
0.050773,1.074057,2.153209,-0.179591,0,,,
-0.003403,1.231954,2.440176,0.104876,0,,,
0.047586,1.137216,2.440176,0.073268,0,,,
0.092201,1.137216,2.376406,0.041661,0,,,
1.17253,3.031986,2.025668,-0.147983,0,,,
0.098575,0.947739,2.185094,-0.211198,0,,,
0.098575,0.916159,2.185094,-0.211198,0,,,
0.117696,0.916159,2.34452,-0.274413,0,,,
0.13363,0.88458,2.21698,-0.30602,0,,,
0.079454,0.789841,2.121324,-0.179591,0,,,
0.092201,1.010898,2.21698,-0.30602,0,,,
0.130443,1.074057,2.376406,-0.116376,0,,,
0.152751,1.042477,2.21698,2.380609,0,,,
0.120883,0.88458,2.21698,-0.179591,0,,,
0.101762,0.916159,2.185094,-0.179591,0,,,
0.111322,0.979318,2.21698,-0.242806,0,,,
0.07308,1.010898,2.089439,-0.179591,0,,,
0.066707,0.947739,2.089439,-0.211198,0,,,
0.082641,0.947739,2.121324,-0.211198,0,,,
0.066707,1.042477,2.089439,-0.211198,0,,,
0.018905,1.168795,3.237306,-0.211198,0,,,
0.057146,1.326693,2.440176,0.073268,0,,,
0.095388,1.231954,3.14165,0.041661,0,,,
0.092201,1.074057,2.248865,0.041661,0,,,
0.092201,1.137216,2.34452,0.073268,0,,,
